rut_miembro,id_topico
74819831-7,1
74819831-7,4
74819831-7,2
4222702-7,12
4222702-7,8
4222702-7,13
4222702-7,9
7585982-7,12
7585982-7,10
7585982-7,11
80794585-6,15
80794585-6,8
2747174-7,4
2747174-7,1
2747174-7,11
2747174-7,8
36538940-6,3
36538940-6,2
85597492-1,13
85597492-1,7
66120111-2,7
66120111-2,13
66120111-2,9
59072148-4,11
59072148-4,4
59072148-4,15
59072148-4,3
86648799-5,3
86648799-5,8
44865794-9,4
44865794-9,9
92189835-1,1
92189835-1,5
92189835-1,7
91673124-5,15
91673124-5,11
96947650-4,6
96947650-4,4
96947650-4,13
96947650-4,2
27647959-3,6
27647959-3,2
99888751-7,5
99888751-7,1
67180662-1,3
67180662-1,8
67180662-1,9
67180662-1,2
89405800-6,5
89405800-6,6
51215466-8,14
51215466-8,13
93362251-1,14
93362251-1,12
93362251-1,6
80614722-1,10
80614722-1,12
80614722-1,11
69012140-2,13
69012140-2,3
69012140-2,6
3227021-4,10
3227021-4,2
3227021-4,4
66947423-2,11
66947423-2,12
60784455-2,12
60784455-2,11
