rut_miembro,nombre_miembro,email_miembro,userid_miembro,password_miembro,es_autor,es_revisor,es_admin
74819831-7,Maxi Hierro,maxi.hierro@gescon.cl,mhierro,j6QA6eu+#s,1,1,1
4222702-7,Julián Barros Cid,julian.cid@gescon.cl,jcid,0&o$17Dc83,1,1,0
7585982-7,Andrés Felipe Alegria Garmendia,andres.garmendia@gescon.cl,agarmendia,Xlt9@GSRP+,1,1,0
80794585-6,Miguela Cañas Sastre,miguela.sastre@gescon.cl,msastre,!0X5Pnqnan,1,1,0
2747174-7,Edu Pintor Rico,edu.rico@gescon.cl,erico,#Rvw22HogM,1,0,0
36538940-6,Paulino Doménech Vélez,paulino.velez@gescon.cl,pvelez,g1Rw!2TO!y,1,1,0
85597492-1,Guadalupe Iniesta Acedo,guadalupe.acedo@gescon.cl,gacedo,H%7YOASz#X,1,0,0
66120111-2,Rosaura Mayte Vélez Olivares,rosaura.olivares@gescon.cl,rolivares,B096LuSY$1,1,1,0
59072148-4,Julia Cornejo Arnaiz,julia.arnaiz@gescon.cl,jarnaiz,lL3#!lxiR#,1,1,0
86648799-5,Bautista del Ribas,bautista.ribas@gescon.cl,bribas,w9Nbxb+r!k,1,1,0
44865794-9,Claudio Quesada-Aparicio,claudio.quesada-aparicio@gescon.cl,cquesada-a,#*1LiDjJMg,1,1,0
92189835-1,Diana Marquez Ayllón,diana.ayllon@gescon.cl,dayllon,kf5)EwumT!,1,1,0
91673124-5,Vidal Larrañaga Jódar,vidal.jodar@gescon.cl,vjodar,jW5STnvyO),0,1,0
96947650-4,Lucía Sanz Álvaro,lucia.alvaro@gescon.cl,lalvaro,k@9ClfVb5u,1,0,0
27647959-3,Blanca Pablo Morán,blanca.moran@gescon.cl,bmoran,&2e3MT1pnH,1,1,0
99888751-7,Rufina Diez Vallés,rufina.valles@gescon.cl,rvalles,uO%38$DinX,1,1,0
67180662-1,Maribel Matilde Calvet Garay,maribel.garay@gescon.cl,mgaray,s5Chae8j++,1,1,0
89405800-6,Ulises Zorrilla,ulises.zorrilla@gescon.cl,uzorrilla,^7EqptimL&,1,0,0
51215466-8,Curro Angulo Ribes,curro.ribes@gescon.cl,cribes,Y!jC^9Led!,1,1,0
93362251-1,Elpidio Guerra Castillo,elpidio.castillo@gescon.cl,ecastillo,M3Wj11Ty)1,1,1,0
80614722-1,Máxima Verdejo Serna,maxima.serna@gescon.cl,mserna,@2sVlXdGSa,1,1,0
69012140-2,Ester Fernandez Plana,ester.plana@gescon.cl,eplana,I9ZlnB+q&^,0,1,0
3227021-4,Silvio Exposito Pallarés,silvio.pallares@gescon.cl,spallarès,PmK0PBt0)_,1,1,0
66947423-2,Victorino Camacho Cáceres,victorino.caceres@gescon.cl,vcaceres,3GZnt7iV$%,1,1,0
60784455-2,Fito del Cantero,fito.cantero@gescon.cl,fcantero,_A_3CIGf@b,1,1,0
